"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"%",0.0207489856048642,-0.0374896566917379,-0.0735382009658626,0.00472266834412759,0.0072827761531123,-0.0125384760063372,-0.000562486658692526,-0.00455735265116407,-0.0486103045038416,0.0197073331264297,-0.00440013439724446,0.0663222186405405,-0.0244545812924226,0.238648426550309
"－1",0.0249147129518677,-0.00292198717220454,0.00907447228392387,0.00492355013699659,-0.0220538026748858,0.00919904004390397,-0.00148446037442715,-0.0701377856814987,-0.0580100784981103,0.0189100619317165,-0.0129842120903929,-0.0110385339165757,-0.0119733611777486,-0.184646504508429
"0",0.00992469704545957,0.0755084240316838,0.0479205393735603,0.0065747650853817,-0.0275205349294877,0.0537992573133835,-0.00100696779610943,-0.00566026739102527,0.0108781308120412,0.0156471123415573,-0.00744373455880716,0.131805747841624,-0.123035034445612,-0.103079937276979
"０",-0.0264724729364513,0.0137957441768566,0.0439460590320784,0.0116961939252143,0.00883948842773157,0.00932854740191973,0.00234113691150813,0.00784317382092252,0.00982017092349896,0.0373393877242961,0.0210597556852435,0.0450075432944311,0.00529030873354308,-0.530570751508981
"１",-0.087944739380487,0.0446573373491567,0.0537533774337949,0.0365003209981373,-0.0674726308317427,-0.0427933739912807,0.0453912059531807,0.0189353231163897,-0.0302635588575119,-0.0112654399075138,0.0237280551582829,0.0385917562345876,-0.0513666129820541,0.263177681394648
"10",-0.0131720424251818,-0.00713820648777808,0.0420247591245153,-0.0217287166625866,0.031717470748017,-0.0205978935874537,-0.0382861703174033,0.0063174328409295,0.0240889823521654,0.0169917141277152,-0.0317377466162601,0.00242176966196708,-0.02363590897832,-0.386050601517549
"10月",0.0177778754812094,-0.00727091693663768,-0.00729741662732819,-0.0233182779685017,-0.00820329981523354,-0.024726358809858,0.00612342378689754,0.00759792756872928,0.0486963086739868,0.0366719639466053,0.0425306703629438,-0.0573890159434459,-0.0235739522043209,-0.274291428416235
"11月",0.00503653386036788,-0.00359625691154654,-0.0137079988426811,-0.0189171678394347,-0.00843007448401877,0.0564620252237879,0.0458756279129984,-0.0107105036498214,0.00120501330462475,-0.0434689242107296,0.040001307983511,-0.0346936175543537,-0.00979612416222403,0.195437778479617
"12",0.0184136636455456,0.0114931659439848,0.00272893726731505,-0.00359026373922034,-0.00959652189146436,-0.0627163633099061,-0.00120248271164128,-0.00564334318356315,-0.00372487768703741,-0.0271416073547324,0.00207472448826898,0.0290445608502979,-0.0166190398296789,-0.101586068128616
"15",0.0165300831927938,0.00887458199515199,-0.0281495409915062,0.024431868860011,-0.0175151687127592,0.000610111653921689,0.00782231598249899,0.0324867341598527,0.04329045723385,0.015066730958313,1.2796612230178e-05,0.00418922802218282,-0.0265599484182369,-0.0340757456283749
